,Name,Country,Type,lat,lng,Elevation,geometry
325,Sabancaya ,            Peru          ,            Stratovolcano          ,-15.779999732971191,-71.8499984741211,5967.0,POINT (-71.84999847412109 -15.77999973297119)
326,Sakar ,            Papua New Guinea          ,            Stratovolcano          ,-5.409999847412109,148.08999633789062,992.0,POINT (148.0899963378906 -5.409999847412109)
327,Sakura-jima ,            Japan          ,            Stratovolcano          ,31.59000015258789,130.66000366210938,1117.0,POINT (130.6600036621094 31.59000015258789)
328,Salak ,            Indonesia          ,            Stratovolcano          ,-6.71999979019165,106.7300033569336,2211.0,POINT (106.7300033569336 -6.71999979019165)
329,San Cristobal ,            Nicaragua          ,            Stratovolcano          ,12.699999809265137,-87.0,1745.0,POINT (-87 12.69999980926514)
330,San Salvador ,            El Salvador          ,            Stratovolcano          ,13.729999542236328,-89.29000091552734,1893.0,POINT (-89.29000091552734 13.72999954223633)
331,San Vicente ,            Cape Verde Islands          ,            Stratovolcano          ,16.899999618530273,-25.0,697.0,POINT (-25 16.89999961853027)
332,Sanford ,            United States          ,            Shield          ,62.220001220703125,-144.1300048828125,4949.0,POINT (-144.1300048828125 62.22000122070312)
333,Sangay ,            Ecuador          ,            Stratovolcano          ,-2.0,-78.33999633789062,5230.0,POINT (-78.33999633789062 -2)
334,Santa Ana ,            El Salvador          ,            Stratovolcano          ,13.850000381469727,-89.62999725341797,2381.0,POINT (-89.62999725341797 13.85000038146973)
335,Santa Maria ,            Guatemala          ,            Stratovolcano          ,14.760000228881836,-91.55000305175781,3772.0,POINT (-91.55000305175781 14.76000022888184)
336,Santorini ,            Greece          ,            Shield          ,36.400001525878906,25.399999618530273,367.0,POINT (25.39999961853027 36.40000152587891)
337,Sarychev Peak ,            Russia          ,            Stratovolcano          ,48.09000015258789,153.1999969482422,1496.0,POINT (153.1999969482422 48.09000015258789)
338,Savo ,            Solomon Islands          ,            Stratovolcano          ,-9.130000114440918,159.82000732421875,485.0,POINT (159.8200073242188 -9.130000114440918)
339,Segula ,            United States          ,            Stratovolcano          ,52.02000045776367,178.13999938964844,1160.0,POINT (178.1399993896484 52.02000045776367)
340,Semeru ,            Indonesia          ,            Stratovolcano          ,-8.109999656677246,112.91999816894531,3676.0,POINT (112.9199981689453 -8.109999656677246)
341,Semisopochnoi ,            United States          ,            Stratovolcano          ,51.93000030517578,179.5800018310547,1221.0,POINT (179.5800018310547 51.93000030517578)
342,Sete Cidades ,            Portugal          ,            Stratovolcano          ,37.869998931884766,-25.780000686645508,856.0,POINT (-25.78000068664551 37.86999893188477)
343,Shasta ,            United States          ,            Stratovolcano          ,41.40999984741211,-122.19000244140625,4317.0,POINT (-122.1900024414062 41.40999984741211)
344,Sheveluch ,            Russia          ,            Stratovolcano          ,56.650001525878906,161.36000061035156,3283.0,POINT (161.3600006103516 56.65000152587891)
345,Shikotsu ,            Japan          ,            Caldera          ,42.689998626708984,141.3800048828125,1320.0,POINT (141.3800048828125 42.68999862670898)
346,Shiretoko-Iwo-zan ,            Japan          ,            Stratovolcano          ,44.130001068115234,145.1699981689453,1563.0,POINT (145.1699981689453 44.13000106811523)
347,Shishaldin ,            United States          ,            Stratovolcano          ,54.7599983215332,-163.97000122070312,2857.0,POINT (-163.9700012207031 54.7599983215332)
348,Sinarka ,            Russia          ,            Stratovolcano          ,48.880001068115234,154.17999267578125,934.0,POINT (154.1799926757812 48.88000106811523)
349,Smirnov ,            Russia          ,            Stratovolcano          ,44.41999816894531,146.13999938964844,1189.0,POINT (146.1399993896484 44.41999816894531)
