,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,Stratovolcano,Caldera,Shield,Complex Volcano,Submarine,Volcanic Field,Cinder Cone,Dome,Fissure vents,Somma Volcano,Maar,Pyroclastic Cone,Tuff Ring,Plug,None,vol,closest_vol
996,Chile,-23.34000015258789,-70.25299835205078,46.0,8.0,"T,L",3.0,3.0,3.0,0.0,,1995,07,30,3.0,POINT (-70.25299835205078 -23.34000015258789),2.5231733564274927,15.681269657101108,30.98870728289958,2.540603983447406,36.66597026669811,67.31574727552123,39.442696284286924,100.69350398212407,76.38743437939802,106.24366259688037,76.6217093921203,96.00610412206292,78.95464288341849,76.17374302004092,2.463299607126274,2.463299607126274,None
997,Mexico,16.849000930786133,-98.60800170898438,23.0,7.300000190734863,,3.0,3.0,3.0,0.0,,1995,09,14,3.0,POINT (-98.60800170898438 16.84900093078613),2.1710326969071927,5.402220557065112,11.705877474655576,7.757259741939805,37.2468334656171,18.401028071214096,4.344899419290202,69.37316330771986,85.36763478801244,115.55171431484169,27.602355089983575,104.7281796208059,29.987531173828625,28.41179808891586,2.1710326969071927,2.1710326969071927,Stratovolcano
998,Turkey,38.07699966430664,30.14299964904785,31.0,6.400000095367432,,101.0,101.0,101.0,0.0,,1995,10,01,101.0,POINT (30.14299964904785 38.07699966430664),3.3330849620750262,4.404677639690478,5.030742693259101,36.33000632198829,56.025029458090515,38.15765129112228,119.60751361835653,3.3162725711108187,17.709513918646707,15.950623735388643,31.128371738666853,26.071279325113174,142.2142060077479,135.0006786827741,3.3162725711108187,3.3162725711108187,Dome
999,Ecuador,-2.7899999618530273,-77.822998046875,24.0,7.0,,2.0,2.0,2.0,0.0,,1995,10,03,2.0,POINT (-77.822998046875 -2.789999961853027),0.9441330269834127,13.938689543725676,13.504811504431192,15.547007126517396,22.126851338247366,46.102750373071736,17.688728482606123,94.2685170973887,71.00102138000898,102.04140225907753,56.170589950069406,91.24113669966968,57.6771619207477,54.48105195116668,0.9441330269834127,0.9441330269834127,Stratovolcano
1000,Indonesia,-2.006999969482422,101.44999694824219,36.599998474121094,6.699999809265137,L,84.0,84.0,84.0,0.0,,1995,10,06,84.0,POINT (101.4499969482422 -2.006999969482422),1.2835979621647469,5.282512890111811,46.24635460524029,8.605767627988966,49.01210963270182,56.40778169578385,53.90561332986704,46.3030498403681,90.96195048569683,70.66896299729844,63.89642446691908,16.177425704241223,218.2497567527556,211.35286202803738,1.2835979621647469,1.2835979621647469,Stratovolcano
1001,Mexico,19.05299949645996,-104.20800018310547,26.399999618530273,8.0,"T,L",49.0,49.0,58.0,0.0,,1995,10,09,58.0,POINT (-104.2080001831055 19.05299949645996),5.569448989025091,11.107774734113221,17.721098155299217,13.765027801669802,37.26494239474532,14.75621595952031,2.0571549385951586,63.619642279285806,90.66694857660222,120.61831310996276,22.319578890995675,109.83459203442189,25.837340389379087,25.551736097211162,2.0571549385951586,2.0571549385951586,Cinder Cone
1002,China,25.94700050354004,102.22000122070312,14.699999809265137,6.199999809265137,,81.0,81.0,53.0,0.0,,1995,10,23,81.0,POINT (102.2200012207031 25.94700050354004),6.587486380131123,22.249575164760117,30.59964848328377,21.845994814061132,43.165305798633945,33.01241637022235,59.11319689106327,30.116381995817324,86.66432156127526,54.32583768616122,66.33008270042292,16.00216641489431,214.9144982287964,207.75904306558314,6.587486380131123,6.587486380131123,Stratovolcano
1003,Saudi Arabia/Egypt,28.761999130249023,34.80799865722656,14.0,7.199999809265137,Lq,9.0,10.0,10.0,0.0,,1995,11,22,10.0,POINT (34.80799865722656 28.76199913024902),10.94392460686118,9.812227985406842,12.118148641923737,26.50064092038102,61.32816083626694,29.253263815399087,122.59005042966845,11.015201385521742,19.24309169470349,23.678221944467875,21.01267861966476,31.92445541463948,147.5262317484104,140.4041418942902,9.812227985406842,9.812227985406842,Caldera
1004,Guatemala,15.175000190734863,-90.1709976196289,15.0,5.300000190734863,L,0.0,1.0,1.0,0.0,,1995,12,19,1.0,POINT (-90.17099761962891 15.17500019073486),0.9059724997248171,1.4585551909882783,3.4110627619020115,0.9033641870599066,28.675485784885122,24.366636258580588,4.376079347708824,77.16226226333592,77.28401260811772,107.69881506511452,34.947787355381635,96.84054147393188,35.89479408604032,32.81649502107329,0.9033641870599066,0.9033641870599066,Complex Volcano
1005,Indonesia,-3.6649999618530273,140.26300048828125,63.0,6.400000095367432,,0.0,2.0,2.0,0.0,,1995,12,19,2.0,POINT (140.2630004882812 -3.664999961853027),4.367144647383931,9.927180091849097,11.952318164615551,7.063384523214155,18.47987754520776,54.260600199575,15.134169549936393,37.98624697175616,128.64106207727767,52.18049702648389,102.58411771864759,38.58253355713907,256.6318078632051,249.67254592187498,4.367144647383931,4.367144647383931,Stratovolcano
